epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.949,1.81822,1.20199,0.58972,1.59664,2.0444,0.83429,0.76802,0.82785,0.34231,0.95991,0.95282,0.98892,0.82408,1.93447,1.05086,0.18715,1.26529,2.72912,0.000665306,0.000665306,0.000665306
2,384.005,1.69793,0.86136,0.41377,1.49558,1.9446,0.7538,0.74337,0.76208,0.39114,0.95738,0.94898,0.98916,0.74391,1.63856,1.18428,0.05662,1.29434,2.28153,0.00131879,0.00131879,0.00131879
3,589.856,1.65735,0.81096,0.36774,1.46555,1.9093,0.81422,0.69541,0.8029,0.40908,0.93935,0.79808,0.91559,0.78429,1.7331,0.84482,0.03397,1.23683,2.47043,0.00195907,0.00195907,0.00195907
4,777.495,1.61224,0.72714,0.34438,1.40402,1.87151,0.70222,0.69082,0.7733,0.43186,0.88162,0.81582,0.90234,0.79603,1.52857,0.72134,0.08313,1.22042,2.20579,0.0019406,0.0019406,0.0019406
5,964.264,1.55615,0.70265,0.32203,1.36216,1.82368,0.7939,0.69694,0.78501,0.44265,0.89771,0.76786,0.90704,0.79002,1.53538,0.70571,0.05149,1.12892,2.16558,0.0019208,0.0019208,0.0019208
6,1159.8,1.51551,0.63435,0.31596,1.33035,1.7906,0.86655,0.77856,0.87066,0.47309,0.91958,0.84015,0.94306,0.83133,1.57991,0.60534,0.09742,1.09871,2.23255,0.001901,0.001901,0.001901
7,1367.66,1.50866,0.58755,0.31023,1.29568,1.78495,0.67804,0.72959,0.7642,0.43881,0.74773,0.74401,0.83078,0.73015,1.44677,0.63525,0.10008,1.22141,2.10115,0.0018812,0.0018812,0.0018812
8,1575.5,1.44669,0.56118,0.28173,1.2542,1.74067,0.80401,0.68776,0.8037,0.49366,0.91281,0.76378,0.9111,0.82273,1.36565,0.59314,0.03306,1.11598,2.00486,0.0018614,0.0018614,0.0018614
9,1767.35,1.43663,0.54498,0.2798,1.23967,1.72522,0.84944,0.70357,0.82915,0.50115,0.89121,0.75255,0.8972,0.80718,1.45051,0.53281,0.03696,1.02864,2.07392,0.0018416,0.0018416,0.0018416
10,1954.48,1.39905,0.47546,0.26266,1.18853,1.70109,0.88607,0.73805,0.85935,0.55039,0.92165,0.80425,0.93195,0.85405,1.28554,0.47226,0.01899,0.95135,1.92575,0.0018218,0.0018218,0.0018218
11,2141.99,1.35404,0.4576,0.26254,1.16416,1.65088,0.85128,0.77143,0.87402,0.551,0.90052,0.81747,0.93815,0.85318,1.33396,0.48844,0.04081,0.89237,1.95152,0.001802,0.001802,0.001802
12,2328.8,1.33657,0.43031,0.26202,1.14969,1.64505,0.81523,0.75862,0.85411,0.55465,0.86886,0.83571,0.93764,0.87554,1.26205,0.41466,0.04294,0.90833,1.85452,0.0017822,0.0017822,0.0017822
13,2516.4,1.32853,0.41777,0.24886,1.12571,1.63383,0.89153,0.76531,0.88783,0.57803,0.92913,0.80816,0.94527,0.88305,1.27224,0.4267,0.03593,0.84422,1.86722,0.0017624,0.0017624,0.0017624
14,2704.07,1.3175,0.40286,0.25328,1.09367,1.63109,0.89514,0.76429,0.89248,0.58718,0.88771,0.80765,0.93754,0.87029,1.21964,0.41499,0.03215,0.8088,1.84079,0.0017426,0.0017426,0.0017426
15,2890.98,1.28967,0.39893,0.25332,1.06772,1.60993,0.91313,0.78296,0.90101,0.58224,0.93674,0.86126,0.95966,0.90888,1.27025,0.36559,0.03053,0.7972,1.83809,0.0017228,0.0017228,0.0017228
16,3078.67,1.26394,0.38451,0.24968,1.06284,1.59714,0.95313,0.81958,0.91641,0.60037,0.9528,0.86122,0.97258,0.92843,1.23254,0.34101,0.04315,0.78824,1.84085,0.001703,0.001703,0.001703
17,3266.08,1.24549,0.36768,0.24816,1.01915,1.5785,0.95491,0.76719,0.90035,0.60957,0.95441,0.81166,0.94998,0.91343,1.17463,0.32275,0.02367,0.78017,1.76291,0.0016832,0.0016832,0.0016832
18,3453.25,1.25173,0.37488,0.24187,1.0387,1.5862,0.90263,0.84082,0.92789,0.62029,0.92736,0.89133,0.97307,0.93864,1.18952,0.31253,0.03603,0.73044,1.77912,0.0016634,0.0016634,0.0016634
19,3640.32,1.23277,0.33729,0.24309,0.99376,1.55933,0.90673,0.80714,0.91753,0.63678,0.93911,0.86559,0.96851,0.94268,1.10811,0.27404,0.02119,0.74855,1.69212,0.0016436,0.0016436,0.0016436
20,3828.11,1.23056,0.32476,0.22205,0.97011,1.56068,0.91919,0.8199,0.92502,0.63721,0.96078,0.86241,0.9701,0.94117,1.13232,0.30703,0.02167,0.72533,1.72347,0.0016238,0.0016238,0.0016238
21,4015.36,1.21308,0.30283,0.2264,0.95305,1.54647,0.92045,0.82143,0.92452,0.63995,0.94518,0.85321,0.96467,0.94738,1.14805,0.26779,0.02049,0.71156,1.71181,0.001604,0.001604,0.001604
22,4202.2,1.20567,0.27783,0.21543,0.95456,1.54391,0.95791,0.82432,0.93384,0.65904,0.93993,0.88469,0.97335,0.96679,1.081,0.21185,0.01788,0.63743,1.67696,0.0015842,0.0015842,0.0015842
